"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"183","205IL321","ທົດລອງວິເຄາະໂດຍໃຊ້ເຄື່ອງມື","1(0-2-1)","BSCCH","3","2","12","2023-2024","1","1","","",""
"184","205PM321x","ເຄມີໂພລີເມີ","2(2-0-4)","BSCCH","3","2","12","2023-2024","2","2","","",""
"185","205PR321","ເຝິກງານ","1(0-0-3)","BSCCH","3","2","12","2023-2024","1","1","","",""
"186","205SN321","ສໍາມະນາ 1","1(0-2-1)","BSCCH","3","2","12","2023-2024","1","1","","",""
"151","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCCH","4","1","1","2023-2024","2","2","15","20",""
"152","205FP421x","ໂຄງການຈົບຊັ້ນ","1(0-0-3)","BSCCH","4","1","12","2023-2024","1","1","","",""
"153","205NP421","ເຄມີຜະລິດຕະພັນທຳມະຊາດ","2(2-0-4)","BSCCH","4","1","12","2023-2024","2","2","","",""
"154","205OS421","ສັງເຄາະອົງຄະທາດ","2(2-0-4)","BSCCH","4","1","12","2023-2024","2","2","","",""
"155","205SA421xx","ການວິເຄາະຂໍ້ມູນດ້ວຍໂປຣແກຣມສຳເລັດຮູບທາງສະຖິຕິ","3(2-2-5)","BSCCH","4","1","12","2023-2024","3","3","","",""
"156","205SN422","ສຳມະນາ 2","1(0-2-1)","BSCCH","4","1","12","2023-2024","1","1","","",""
"157","205xxxx4","ວິຊາເລືອກ","2(2-0-4)","BSCCH","4","1","12","2023-2024","2","2","","",""
"158","205xxxx5","ວິຊາເລືອກ","2(2-0-4)","BSCCH","4","1","12","2023-2024","2","2","","",""
"187","205FP421xx","ໂຄງການຈົບຊັ້ນ","5(0-0-15)","BSCCH","4","2","12","2023-2024","5","5","5","",""
"188","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCCHEV","1","1","1","2023-2024","2","2","19","39",""
"189","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCCHEV","1","1","1","2023-2024","2","2","","",""
"190","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCCHEV","1","1","2","2023-2024","3","3","","",""
"191","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCCHEV","1","1","2","2023-2024","3","3","","",""
"192","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCCHEV","1","1","2","2023-2024","1","1","","",""
